Name,Address,ZipCode,City,Hours,Phones,GymWeb,Url
5dragones,"C/ Ubeda 25, Madrid, Spain",28034,,,699227043,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=923
5taichi8 españa,"C/ Serrano Galvache 20, Madrid, Spain",28033,,,902113688-620222405,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=831
A.d. instituto de investigacion de wushu,"C/ ALMANSA 47, Madrid, Spain",28039,,,915342029,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=933
"Abaco , colegio","Avda. de la Peseta,  8, Madrid, Spain",28044,,,915114064,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=755
"Activa, empresa servicios educativos","C/ Juan Montalvo,  30, Madrid, Spain",28040,MADRID,,914561870,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=591
Agrupacion deportiva espiritu santo,"C/ San Emiliano, 54, Madrid, Spain",28017,,,630285760,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=899
"Alameda de osuna, colegio.  c.d.","Paseo de la Alameda de Osuna ,  60, Madrid, Spain",28042,,,917427011,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=674
"Almazan, colegio","C/ Mesena 101, Madrid, Spain",28033,,,913020706,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=759
"Aluche, polideportivo mpal.","Avda. General Fanjul,  14, Madrid, Spain",28044,MADRID,,917062868,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=4
"Amor de dios, a.c.  paraula","C/ Doctor Castelo  10 6 pl. C, Madrid, Spain",28009,MADRID,,916192117,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=5
"Antonio diaz miguel, c.d.municipal","C/ Padre Rubio 65, Madrid, Spain",28029,,,913145437,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=782
"Aranami, club de kendo","C/ Arcos de la Frontera, 51 2 B, Madrid, Spain",28015,,,645239188,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=855
"Arcangel rafael, c. d.  emcem s.l.","C/ Escalona ,  109, Madrid, Spain",28024,MADRID,,917119300,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=14
"Arete ocio, s.l.","C/ Eugenia de Montijo 55, Portal G, 1B, Madrid, Spain",28025,,,902602636,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=825
"Arturo soria, agrupacion dptva.","C/ Duque de Tamames,  4, Madrid, Spain",28043,MADRID,,914157295,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=17
Asoc.  dptiva y cultural milasport,"C/ Rafael Calvo 4, 3D, Madrid, Spain",28010,,,647781181,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=914
Asociacion deportiva judo club moscardo,"C/ PAULINA ODIAGA 13  1b, Madrid, Spain",28013,,,619300992,,https://www.fmjudo.es/index.php?option=com_content&view=article&id=170:club&catid=18:clubes&club=942
